DLMF;Mathematica;DLMF-Mathematica-Comment;Mathematica-Alternatives
X1:\tderivX\tderiv[$0]{$1}{$2};D[$1, {$2, $0}];;
X1:\iderivX\ideriv[$0]{$1}{$2};D[$1, {$2, $0}];;
X1:\pderivX\pderiv[$0]{$1}{$2};D[$1, {$2, $0}];;
X1:\tpderivX\tpderiv[$0]{$1}{$2};D[$1, {$2, $0}];;
X1:\ipderivX\ipderiv[$0]{$1}{$2};D[$1, {$2, $0}];;
\AntiDer@{x}{f(x)};;;
\Int{a}{b}@{x}{f(x)};;;
\int;;;
\pvint_{a}^{b} \f{f}@{x} \diff{x};;;
\Schwarzian{z}{\zeta};;;
\Complexes;Complexes;;
\Reals;Reals;;
\Rationals;Rationals;;
\Integers;Integers;;
\natNumbers;PositiveIntegers;;
\continuous@{A};;;
\SpaceTestFunTempered@{A};;;
;;;
;;;
\setminus;;;
\subseteq;;;
\subset;;;
\setmod;;;
\npartitions{n};;;
\npartitions[k]@{n};;;
\npermutations{n};;;
\nplanepartitions@{n};;;
\nrestpartitions[k]@{\mathrm{condition}}{n};;;
\nrestcompositions@{\mathrm{condition}}{n};;;
\bigO@{x};;;
\littleo@{x};;;
\sim;;;
\abs{$0};Abs[$0];;
;;;
;;;
;;;
\AiryAi@{z};AiryAi[$0];;
\AiryBi@{z};AiryBi[$0];;
\AirymodM@{z};;;Sqrt[AiryAi[$0]^2 + AiryBi[$0]^2]
\AirymodderivN@{z};;;Sqrt[AiryAiPrime[$0]^2 + AiryBiPrime[$0]^2]
\Airyphasederivphi@{z};;;ArcTan[Divide[AiryAiPrime[$0], AiryBiPrime[$0]]]
\Airyphasetheta@{z};;;ArcTan[Divide[AiryAi[$0], AiryBi[$0]]]
\genAiryODEA{n}@{z};;;
\genAiryODEB{n}@{z};;;
\genAiryintA{k}@{z}{p};;;
\genAiryintB{k}@{z}{p};;;
\zAirya{k};;;
\zderivAirya{k};;;
\zAiryb{k};;;
\zderivAiryb{k};;;
\zAirybeta{k};;;
\zderivAirybeta{k};;;
;;;
\AngerJ{v}@{x};AngerJ[$0, $1];;
\WeberE{v}@{x};WeberE[$0, $1];;
\AngerWeberA{v}@{x};;;
;;;
\AppellF{1}@{\alpha}{\beta}{\beta'}{\gamma}{x}{y};AppellF[$0, $1, $2, $3, $4, $5];;
\AppellF{2}@{\alpha}{\beta}{\beta'}{\gamma}{\gamma'}{x}{y};;;
\AppellF{3}@{\alpha}{\alpha'}{\beta}{\beta'}{\gamma}{x}{y};;;
\AppellF{4}@{\alpha}{\beta}{\gamma}{\gamma'}{x}{y};;;
;;;
\BesselJ{v}@{x};BesselJ[$0, $1];;
\BesselY{v}@{x};BesselY[$0, $1];;
\HankelH{1}{v}@{x};HankelH$0[$1, $2];The translation is only valid when the first argument is either 1 or 2;
\HankelmodM{\nu}@{x};;;Sqrt[KelvinBer[$0, $1]^2 + KelvinBei[$0, $1]^2]
\HankelmodderivN{\nu}@{x};;;Sqrt[KelvinKer[$0, $1]^2 + KelvinKei[$0, $1]^2]
\Hankelphasetheta{\nu}@{x};;;
\Hankelphasederivphi{\nu}@{x};;;
\zBesselj{\nu}{m};;;
\zderivBesselj{\nu}{m};;;
\zBessely{\nu}{m};;;
\zderivBessely{\nu}{m};;;
\BesselJimag{\nu}@{x};Sech[1/2 Pi $0] Re[BesselJ[I $0, $1]];;
\BesselYimag{\nu}@{x};Sech[1/2 Pi $0] Re[BesselY[I $0, $1]];;
\modBesselI{v}@{x};BesselI[$0, $1];;
\modBesselK{v}@{x};BesselK[$0, $1];;
\modcylinder{\nu}@{z};;;
\modBesselIimag{\nu}@{x};Re[BesselI[I*$0, $1]];;
\modBesselKimag{\nu}@{x};BesselK[I*$0, $1];;
\genBesselphi@{\rho}{\beta}{z};;;
\MittagLefflerE{a}{b}@{z};;;
\sphBesselJ{n}@{z};SphericalBesselJ[$0, $1];;
\sphBesselY{n}@{z};SphericalBesselY[$0, $1];;
\sphHankelh{1}{n}@{z};SphericalHankelH$0[$1, $2];;
\modsphBesseli{1}{n}@{z};Sqrt[Divide[Pi, $2]/2] BesselI[(-1)^($0-1)*($1 + 1/2), $1];;
\modsphBesselK{n}@{z};Sqrt[1/2 Pi /$1] BesselK[$0 + 1/2, $1];;
\BesselAmat{\nu}@{\Matrix{T}};;;
\BesselBmat{\nu}@{\Matrix{T}};;;
\JacksonqBesselI{\nu}@{z}{q};;;
\JacksonqBesselII{\nu}@{z}{q};;;
\JacksonqBesselIII{\nu}@{z}{q};;;
;;;
\BickleyKi{\alpha}@{x};;;
;;;
\EulerBeta@{a}{b};Beta[$0, $1];;
\incBeta{x}@{a}{b};Beta[$0, $1, $2];It has a branch cut for complex parameters (x in DLMF).;
\normincBetaI{x}@{a}{b};BetaRegularized[$0, $1, $2];;
\multivarEulerBeta{m}@{a}{b};;;
;;;
\canonint{K}@{\Vector{x}};;;
\umbcanonint@{\Vector{x}};;;
\ellumbcanonint@{\Vector{x}};;;
\hyperumbcanonint@{\Vector{x}};;;
;;;
\Catalannumber@{n};;;
;;;
\cuspcatastrophe{K}@{t}{\Vector{x}};;;
\ellumbcatastrophe@{s}{t}{\Vector{x}};;;
\hyperumbcatastrophe@{s}{t}{\Vector{x}};;;
\diffrcanonint{K}@{\Vector{x}}{k};;;
\umbdiffrcanonint@{\Vector{x}}{k};;;
\ellumbdiffrcanonint@{\Vector{x}}{k};;;
\hyperumbdiffrcanonint@{\Vector{x}}{k};;;
;;;
\ChebyshevPsi@{x};;;
;;;
\regCoulombF{L}@{\eta}{\rho};;;
\regCoulombf@{\epsilon}{\ell}{r};;;
\irregCoulombc@{\epsilon}{\ell}{r};;;
\regCoulombs@{\epsilon}{\ell}{r};;;
\irregCoulombh@{\epsilon}{\ell}{r};;;
\irregCoulombG{\ell}@{\eta}{\rho};;;
\irregCoulombH{\pm}{\ell}@{\eta}{\rho};;;
\normCoulombC{\ell}@{\eta};;;
\Coulombphasetheta{\ell}@{\eta}{\rho};;;
\Coulombphasesigma{\ell}@{\eta};;;
\envCoulumbM{\ell}@{\eta}{\rho};;;
\Coulombturnrho@{\eta}{\ell};;;
\Coulombturnr@{\epsilon}{\ell};;;
;;;
\BesselC{\nu}@{z};;;
\paraU@{a}{z};ParabolicCylinderD[- 1/2 -($0), $1];;
\paraUbar@{a}{x};;;
\paraV@{a}{z};;Caution: The alternative translation has singularities caused by the use of the Euler gamma function.;Divide[GAMMA[1/2 + $0], Pi]*(Sin[Pi*($0)] * ParabolicCylinderD[-($0) - 1/2, $1] + ParabolicCylinderD[-($0) - 1/2, -($1)])
\paraW@{a}{x};;;Sqrt[(Sqrt[1+Exp[2*Pi*($0)]]-Exp[Pi*($0)])/2] * Exp[Divide[Pi*($0),4]] * ( Exp[I*(Pi/8 + Arg[GAMMA[1/2 + I*($0)]]/2)] * ParabolicCylinderD[- 1/2 - I*($0), $1 * Exp[-Divide[Pi*I,4]]] + Exp[-I*(Pi/8 + Arg[GAMMA[1/2 + I*($0)]]/2)] * ParabolicCylinderD[- 1/2 + I*($0), $1 * Exp[Divide[Pi*I,4]]] )
\WhittakerparaD{\nu}@{z};ParabolicCylinderD[$0, $1];;
;;;
\DawsonsintF@{z};DawsonF[$0];;
;;;
\Diracdelta@{x};DiracDelta[$0];;
\deltaDistribution;;;
;;;
\DirichletL@{s}{\chi};;;
\Dirichletchar@@{n}{k};;;
;;;
\DiscriminantDelta@{\tau};;;
;;;
\nprimesdiv@{n};;;
\nprimes@{x};;;
\ndivisors@{n};;;
X1:\ndivisorsX\ndivisors[k]@{n};;;
\sumdivisors{\alpha}@{n};;;
\sumdivisors{1}@{n};;;
\JordanJ{k}@{n};;;
\Moebiusmu@{n};;;
\Liouvillelambda@{n};;;
\MangoldtLambda@{n};;;
;;;
\Bulirschcompellintcel@{k_c}{p}{a}{b};;;
\Bulirschincellintel{1}@{x}{k_c};;;
