Mathematica;DLMF;Number of Variables;Mathematica-DLMF-Comment;Mathematica-Constriants;Mathematica-Branch Cuts;Mathematica-Alternatives;DLMF-Alternatives;Mathematica-Link
Multinomial[n_1,...,n_k];\multinomial{m}{n_1,...,n_k};;;;;;;https://reference.wolfram.com/language/ref/Multinomial.html
Abs[$0];|z|;1;;;;;;https://reference.wolfram.com/language/ref/Abs.html
Abs[$0];\left|z\right|;1;;;;;;https://reference.wolfram.com/language/ref/Abs.html
Abs[$0];\abs{x};;;;;;;
FractionalPart[$0];;1;;;;;;https://reference.wolfram.com/language/ref/FractionalPart.html
Round[$0];;1;;;;;;https://reference.wolfram.com/language/ref/Round.html
Floor[$0];\floor{x};1;;;;;;https://reference.wolfram.com/language/ref/Floor.html
Min[x1, x2, ...];;;;;;;;https://reference.wolfram.com/language/ref/Min.html
Max[x1, x2, ...];;;;;;;;https://reference.wolfram.com/language/ref/Max.html
GCD[$0];\pgcd{m,n};2;;;;;;https://reference.wolfram.com/language/ref/GCD.html
LCM[m,n,...];;;;;;;;https://reference.wolfram.com/language/ref/LCM.html
;\f{f}@{x};;;;;;;
;\in;;;;;;;
;\notin;;;;;;;
\[ForAll];\forall;;;;;;;
;\Longrightarrow;;;;;;;
;\Longleftrightarrow;;;;;;;
;=;;;;;;;
;\neq;;;;;;;
Divide[$0, $1];\ifrac{a}{b};2;;;;;;https://reference.wolfram.com/language/ref/Divide.html
Power[$0, $1];\power{x}{y};2;;;;;;https://reference.wolfram.com/language/ref/Power.html
$0!;n!;;;;;;;https://reference.wolfram.com/language/ref/Factorial.html
$0!!;n!!;;;;;;;https://reference.wolfram.com/language/ref/Factorial2.html
;\shiftfactorial{a}{\kappa};;;;;;;
Floor[$0];\floor{x} ;;;;;;;
Ceiling[$0];\ceiling{x};;;;;;;
Sign[$0];\sign@@{x};;;;;;;
;\inf;;;;;;;
;\sup;;;;;;;
;\Sum{n}{k1}{k2}@{f(n)};;;;;;;
;\Prod{n}{k1}{k2}@{f(n)};;;;;;;
Wronskian[{$1,$2},$0];\Wronskian@{w1(z),w2(z)};;;;;;;
;\Residue;;;;;;;
;\card{A};;;;;;;
;\cartprod;;;;;;;
\[Divides];\divides;;;;;;;
;\liminf;;;;;;;
;\mod;;;;;;;
;\opminus;;;;;;;
;\poly{p}{n}@{x};;;;;;;
;\ncompositions[m]@{n};;;;;;;
;\intinnerprod{f}{g};;;;;;;
;\Lattice{L};;;;;;;
;\fDiff[x];;;;;;;
;\bDiff[x];;;;;;;
;\cDiff[x];;;;;;;
